,name,salary_from,salary_to,salary_currency,area_name,published_at
232,Фронтенд разработчик,100000.0,,RUR,Краснодар,2022-12-23T08:09:26+0300
233,Оператор фрезерного станка с ЧПУ,80000.0,,RUR,Зеленоград,2022-12-23T11:30:15+0300
234,Оператор листогибочного пресса с ЧПУ,60000.0,75000.0,RUR,Нижний Новгород,2022-12-23T11:35:52+0300
235,Инженер-программист (Системный администратор),40000.0,42000.0,RUR,Тюмень,2022-12-23T07:14:11+0300
236,Главный механик,90000.0,,RUR,Красноярск,2022-12-23T04:15:22+0300
237,Системный администратор Windows,50000.0,60000.0,RUR,Новосибирск,2022-12-23T10:13:14+0300
238,Специалист по поддержке информационных систем,,,,Чита,2022-12-23T10:07:44+0300
239,Разработчик 1С,250000.0,300000.0,RUR,Москва,2022-12-23T11:25:29+0300
240,Системный администратор (IT-специалист),55000.0,,RUR,Краснодар,2022-12-23T10:23:37+0300
241,Backend Developer RoR,150000.0,200000.0,RUR,Челябинск,2022-12-23T08:46:43+0300
242,"Инженер по тестированию, Логистика, Франшиза для ПВЗ",,,,Москва,2022-12-23T09:55:30+0300
243,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Орел,2022-12-23T10:24:29+0300
244,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Тамбов,2022-12-23T10:24:29+0300
245,Ночной специалист службы поддержки в Yandex Cloud,64800.0,81000.0,RUR,Нижний Новгород,2022-12-23T10:24:29+0300
246,Администратор информационной безопасности,,,,Оренбург,2022-12-23T10:17:54+0300
247,Начальник отдела информационных технологий,100000.0,,RUR,Тверь,2022-12-23T08:33:49+0300
248,Специалист по технической поддержке пользователей,,,,Ухта,2022-12-23T01:45:37+0300
249,Контент-специалист социального проекта,,44000.0,RUR,Санкт-Петербург,2022-12-23T10:29:48+0300
250,Техник-инженер,30000.0,,RUR,Барнаул,2022-12-23T08:49:16+0300
251,Монтажник ТО систем видеонаблюдения,1500.0,,BYR,Минск,2022-12-23T11:55:34+0300
252,Инженер по тестированию,,,,Санкт-Петербург,2022-12-23T10:12:25+0300
253,Монтажник эксплуатации,,,,Новокузнецк,2022-12-23T06:15:07+0300
254,Инженер по автоматизированным системам,47000.0,,RUR,Уфа,2022-12-23T09:47:23+0300
255,Системный администратор/IT специалист,40000.0,50000.0,RUR,Ростов-на-Дону,2022-12-23T09:15:21+0300
256,Business Analyst,,,,Санкт-Петербург,2022-12-23T10:51:14+0300
257,Project manager,,,,Новосибирск,2022-12-23T09:37:44+0300
258,Junior PHP developer (fullstack),40000.0,,RUR,Омск,2022-12-23T11:53:49+0300
259,QA специалист,,,,Москва,2022-12-23T10:11:21+0300
260,Механик по выпуску автотранспорта,,40000.0,RUR,Краснодар,2022-12-23T10:36:20+0300
261,Механик по эксплуатации,50000.0,,RUR,Киров (Кировская область),2022-12-23T08:47:32+0300
262,Аналитик моделирования данных,,,,Екатеринбург,2022-12-23T11:07:29+0300
263,Специалист по информационной безопасности,20000.0,30000.0,RUR,Барнаул,2022-12-23T04:19:34+0300
